id,name,lat,lng
七張站,七張站,24.975967,121.542855
三和國中站,三和國中站,25.076785,121.486441
三民高中站,三民高中站,25.085665,121.473131
三重國小站,三重國小站,25.070646,121.496702
三重站,三重站,25.055701,121.484246
中原站,中原站,25.00841,121.484159
中和站,中和站,25.002212,121.496491
中山國中站,中山國中站,25.060826,121.543979
中山國小站,中山國小站,25.062653,121.526548
中山站,中山站,25.052689,121.520194
中正紀念堂站,中正紀念堂站,25.033889,121.517488
丹鳳站,丹鳳站,25.028866,121.422462
亞東醫院站,亞東醫院站,24.998687,121.452613
信義安和站,信義安和站,25.033104,121.552954
先嗇宮站,先嗇宮站,25.046292,121.471423
內湖站,內湖站,25.08369,121.594439
公館站,公館站,25.014949,121.534187
六張犁站,六張犁站,25.023852,121.552737
劍南路站,劍南路站,25.084802,121.555541
劍潭站,劍潭站,25.084196,121.524962
動物園站,動物園站,24.998135,121.579632
北投站,北投站,25.131676,121.498656
北門站,北門站,25.049462,121.51024
十四張站,十四張站,24.984467,121.527701
南京三民站,南京三民站,25.051441,121.563895
南京復興站,南京復興站,25.052016,121.543489
南勢角站,南勢角站,24.990059,121.508829
南港展覽館站,南港展覽館站,25.05509,121.617612
南港站,南港站,25.051968,121.606893
南港軟體園區站,南港軟體園區站,25.060253,121.616097
古亭站,古亭站,25.026695,121.522662
台北101/世貿站,台北101/世貿站,25.032965,121.562933
台北小巨蛋站,台北小巨蛋站,25.05166,121.551952
台北橋站,台北橋站,25.062966,121.500281
台北車站,台北車站,25.046778,121.517707
台大醫院站,台大醫院站,25.041955,121.516313
台電大樓站,台電大樓站,25.020553,121.528111
唭哩岸站,唭哩岸站,25.120782,121.506404
善導寺站,善導寺站,25.044577,121.523955
國父紀念館站,國父紀念館站,25.041347,121.557578
圓山站,圓山站,25.071281,121.520071
土城站,土城站,24.973209,121.44437
士林站,士林站,25.093483,121.526203
大坪林站,大坪林站,24.982837,121.541736
大安森林公園站,大安森林公園站,25.033482,121.535174
大安站,大安站,25.033414,121.542894
大橋頭站,大橋頭站,25.063362,121.512688
大湖公園站,大湖公園站,25.083785,121.602294
大直站,大直站,25.079795,121.54692
奇岩站,奇岩站,25.125427,121.501111
小南門站,小南門站,25.035676,121.510515
小碧潭站,小碧潭站,24.972498,121.529923
市政府站,市政府站,25.041136,121.566213
幸福站,幸福站,25.049943,121.460191
府中站,府中站,25.008864,121.459183
後山埤站,後山埤站,25.044753,121.582246
徐匯中學站,徐匯中學站,25.080317,121.480232
復興崗站,復興崗站,25.137497,121.485266
忠孝復興站,忠孝復興站,25.041652,121.544102
忠孝敦化站,忠孝敦化站,25.041477,121.550316
忠孝新生站,忠孝新生站,25.041813,121.53276
忠義站,忠義站,25.131021,121.473408
文德站,文德站,25.078512,121.585119
新北投站,新北投站,25.136901,121.502989
新北產業園區站,新北產業園區站,25.061564,121.459774
新埔民生站,新埔民生站,25.026125,121.466839
新埔站,新埔站,25.023206,121.46822
新店區公所站,新店區公所站,24.967689,121.541426
新店站,新店站,24.95784,121.53758
新莊站,新莊站,25.036158,121.452472
昆陽站,昆陽站,25.050473,121.593245
明德站,明德站,25.109757,121.518806
景安站,景安站,24.993731,121.50456
景平站,景平站,24.991926,121.51625
景美站,景美站,24.992649,121.540919
木柵站,木柵站,24.998174,121.573417
東湖站,東湖站,25.067146,121.611386
東門站,東門站,25.033903,121.5288
松山機場站,松山機場站,25.063446,121.551624
松山站,松山站,25.050128,121.57731
松江南京站,松江南京站,25.051877,121.53316
板新站,板新站,25.014491,121.472212
板橋站,板橋站,25.014317,121.463269
橋和站,橋和站,25.004803,121.490278
民權西路站,民權西路站,25.062541,121.519789
永安市場站,永安市場站,25.002375,121.510962
永寧站,永寧站,24.966863,121.436334
永春站,永春站,25.040813,121.575971
江子翠站,江子翠站,25.030249,121.47253
海山站,海山站,24.985674,121.448901
淡水站,淡水站,25.167876,121.445622
港墘站,港墘站,25.080098,121.575252
石牌站,石牌站,25.114242,121.515752
秀朗橋站,秀朗橋站,24.990537,121.525165
科技大樓站,科技大樓站,25.025993,121.542652
竹圍站,竹圍站,25.136902,121.459548
紅樹林站,紅樹林站,25.154547,121.458883
芝山站,芝山站,25.102943,121.522486
菜寮站,菜寮站,25.059851,121.491297
萬芳社區站,萬芳社區站,24.998581,121.568409
萬芳醫院站,萬芳醫院站,24.999383,121.557737
萬隆站,萬隆站,25.001942,121.539056
葫洲站,葫洲站,25.072522,121.607633
蘆洲站,蘆洲站,25.091635,121.464629
行天宮站,行天宮站,25.059282,121.533193
西湖站,西湖站,25.082181,121.566894
西門站,西門站,25.042197,121.508381
象山站,象山站,25.032786,121.569958
輔大站,輔大站,25.03276,121.435904
辛亥站,辛亥站,25.005119,121.557021
迴龍站,迴龍站,25.02185,121.41151
關渡站,關渡站,25.12545,121.467038
雙連站,雙連站,25.057662,121.520601
頂埔站,頂埔站,24.959508,121.418986
頂溪站,頂溪站,25.013559,121.51543
頭前庄站,頭前庄站,25.039756,121.461438
麟光站,麟光站,25.018554,121.558606
龍山寺站,龍山寺站,25.035338,121.500317
